ticket,last_date,price,mom_252,mom_90,mom_60,mom_20,mom_5,ma_20,ma_60,ma_200,ma_ratio_s_l,price_vs_ma_long,ann_vol_90,vol_90,ann_vol_30,vol_30,max_drawdown,downside_dev,avg_vol_20,avg_vol_60,vol_spike,mom_accel,volatility_change,rsi_14,atr_14,ann_return,sharpe_like,calmar,trend_r2,consec_up_10,skewness,kurtosis,avg_volume,history_days,score__mom_252,score__mom_90,score__mom_60,score__mom_20,score__mom_5,score__ma_ratio_s_l,score__price_vs_ma_long,score__ann_vol_90,score__vol_30,score__max_drawdown,score__downside_dev,score__avg_vol_60,score__vol_spike,score__mom_accel,score__volatility_change,score__rsi_14,score__atr_14,score__sharpe_like,score__calmar,score__trend_r2,score__consec_up_10,score__skewness,score__kurtosis,composite_score
tllpm,2026-02-27,348.70001220703125,3.3823050589971677,1.0142099239951516,0.721975368923611,0.38477429644504957,0.01119364316823157,302.7254997253418,254.57083231608073,160.73224945068358,1.8834148141275264,2.169446476339219,0.6484051743293026,0.04084568666863849,0.5552524054866664,0.03497761380447894,-0.3276360411563505,0.0397021905403137,131.4820818106802,96.34509214507446,0.690560243861652,-0.33720107247856146,0.8563355547010756,82.0653004061807,96.21100465132542,6.103841254153104,9.413622061956548,18.629944473173214,0.9645480343060082,1,-0.4432789888413441,1.370259998976728,96.34509214507446,251,5.739574185343086,3.7483502450044632,3.4239851543218114,3.0174719199958533,-0.1739999466837463,3.960533949836657,4.0333314881433,-2.6460163589778434,-1.1535285946702367,0.6052693213869749,-2.323678685268961,0.04147329645591337,-1.0950313494832005,-2.3283005618712913,-1.5017935768892168,-2.0323855076864663,0.20385017542639045,3.4723254792579428,4.275859815291413,1.6153280724593013,-0.17473476395551363,-0.23911022966820053,-0.5314518805628435,1.919002722821741
lvjyr,2026-02-27,320.0299987792969,1.9238682662879234,1.3019308639926561,0.6856050191658483,0.32820500479708214,0.004803763828247654,303.94771041870115,242.35942866007488,155.70287002563475,1.9521008852740316,2.0553892084619387,0.6367016471845176,0.04010843375703385,0.6569652467136586,0.04138492054325082,-0.38335896892330035,0.030183844006946424,149.35793748896344,116.06392371534523,1.0463766265326353,-0.3574000143687661,1.0318258930017228,57.85156250299383,28.918785449308842,9.324246677063112,14.644609006894752,24.32249518838997,0.967410738306804,0,1.5864211619998911,6.0196995431794456,116.06392371534523,251,3.6178288189216836,3.7483502450044632,3.230217996110859,2.893049142735534,-0.3244638721313831,3.960533949836657,4.0333314881433,-2.550532879383527,-1.799579830506394,1.0998015664895644,-1.184382787251074,0.5404759994497441,-0.3482261765838861,-2.490919223415057,-0.5994538359158711,0.567126789501776,0.5224613198207351,3.574739684761363,4.275859815291413,1.6153280724593013,-0.8244892195530532,1.4407940503057242,0.23532176828370097,1.8065884522127706
zevuc,2026-02-27,635.3599853515625,12.561579638097992,3.2918131191990394,2.0940344118192122,0.10257698108731028,-0.046707385465557305,618.1815063476563,416.97966791788735,190.9976756095886,3.236591777211059,3.326532552401068,1.1832674006978914,0.0745388399222961,1.0018258543902985,0.06310909685027466,-0.4750088301928227,0.06426734832861998,303.2314164225155,204.96864926063247,0.7762754928062167,-1.991457430731902,0.8466605713575484,55.65566810420657,748.0021342691472,58.073710228355004,49.079109416944235,122.25816982135018,0.9488560022595145,0,0.16373172949918158,1.6299603332221215,204.96864926063247,251,5.739574185343086,3.7483502450044632,3.427083686049978,0.7056613721653159,-1.53740848574355,3.960533949836657,4.0333314881433,-3.5022003357414775,-2.922188388753253,1.91317971213395,-3.4880785755793644,2.7902897471825585,-0.9151279093221987,-3.4692514105264567,-1.5515406002789802,0.8028712464624247,-2.8822111876292875,3.574739684761363,4.275859815291413,1.5746488920565929,-0.8244892195530532,0.2632890549294084,-0.48862276728954585,1.7287642450859546
yddtn,2026-02-27,279.70001220703125,4.738257405035072,1.3033400429821298,0.7496399861750109,0.11777171795015495,-0.0025675814357974946,278.27999954223634,224.54360707600912,132.82103246688843,2.095150100640235,2.105841273855879,0.7886717289231348,0.04968164906661812,0.8243483858672352,0.05192906720671944,-0.37584306116026756,0.0418970729856736,123.76486200720714,102.34564371462069,0.8622236247529769,-0.631868268224856,1.045236382376198,48.849850319445,303.75875242794115,9.341953047151126,11.845172971911623,24.855994462985485,0.98123560965938,0,0.36198329585863864,0.49187767516523584,102.34564371462069,251,5.739574185343086,3.7483502450044632,3.427083686049978,0.8529692333269764,-0.49803859635471587,3.960533949836657,4.0333314881433,-3.5022003357414775,-2.8627502483592626,1.0330990637858009,-2.586394542257765,0.19332263103676187,-0.7347356826994426,-3.4692514105264567,-0.5304995126997466,1.286569822630995,-0.7788343937517748,3.574739684761363,4.275859815291413,1.6153280724593013,-0.8244892195530532,0.42737420548760896,-0.6763124413052759,1.7272000006668067
yamyy,2026-02-27,412.3699951171875,3.4186850718866024,0.9951471373285428,0.7225628421253039,-0.0060499656191770335,-0.020429023632510313,409.1990020751953,341.8364809672038,207.67742610931396,1.970358597654409,1.9856274359744093,0.6816560086749355,0.042940292348732534,0.6702755229738151,0.04222338913529703,-0.3715035002671727,0.03568429987787896,154.67789854917356,141.46273472294166,0.7911823978921136,-0.7286128077444809,0.9833046484743126,55.90435109278949,38.741210260457876,5.917191549980138,8.680612324510289,15.927687210819533,0.9368976791705481,0,0.10030877262039396,0.16673758953149465,141.46273472294166,251,5.739574185343086,3.7483502450044632,3.427083686049978,-0.34744032536935276,-0.9186259915276952,3.960533949836657,4.0333314881433,-2.9172940108735763,-1.8841229454509874,0.9945861414175249,-1.8427583558452243,1.1832156719528677,-0.8838405533367913,-3.4692514105264567,-0.848941344131622,0.7761734070165891,0.47595469473214214,3.157933227474721,3.728582343460393,1.5361215074431949,-0.8244892195530532,0.21079632753560185,-0.7299337105953605,1.701696269133876
yjwgf,2026-02-27,150.3800048828125,2.0438033179984525,0.7726857429109373,0.7997930347510047,0.45918336223972034,0.03725083856328082,130.68861389160156,103.81641260782878,78.26166946411132,1.669892998511384,1.9215026450445347,0.5299760944726649,0.0333853558758082,0.7112490556065044,0.04480447908010383,-0.22093716909697603,0.028294065688613923,150.31231382077732,102.08583032526118,1.130379333156649,-0.3406096725112844,1.3420398800669855,70.93772063218893,146.2536668371476,3.967854929303164,7.48685642746065,17.95920055245006,0.8825772779762814,1,0.8448321987569212,4.200366829863813,102.0858303252612,251,3.868409958837717,2.9258463620008373,3.427083686049978,3.0174719199958533,0.4395746916919861,3.246139656089797,4.0333314881433,-1.6798101469553648,-2.144375250613192,-0.3416664349343708,-0.9581862857167163,0.18674782039940913,-0.17191710567085414,-2.3557426911705615,0.9956106641891224,-0.8377628279461498,-0.03308880587988496,2.645924197607706,4.275859815291413,1.3611117695731267,-0.17473476395551363,0.8270095596177998,-0.06471791817578351,1.6144688149132596
zhgkt,2026-02-27,307.3299865722656,0.9264714406313252,0.8654323919409144,0.5259682020160692,0.42065355693140694,0.25440810845822703,246.60399856567383,221.80583318074545,184.295599899292,1.3380894535685717,1.6675926432239183,0.48994932690197396,0.03086390652395503,0.703781576703259,0.04433407212537505,-0.20378613668271073,0.01763766274754854,101.18263220138536,73.16776482513939,1.6686146824569326,-0.10531464508466226,1.4364374775590412,89.82272278785962,90.64143117337377,4.730369655512952,9.654814071128166,23.212421279068675,0.7770384512130482,6,4.485730479363797,30.956193368635162,73.16776482513939,251,1.533960675646248,3.320460980021934,2.379734769774766,3.0174719199958533,5.25926477450621,1.4584826658201004,2.81870361945961,-1.3532508971427528,-2.096943934018117,-0.4938791578754032,0.31732896431343005,-0.5450497406522915,0.9577580938727352,-0.46141760047972374,1.480986124139293,-2.7180177458768933,0.23022065630280933,3.574739684761363,4.275859815291413,1.02108625428114,3.074037514032184,2.896109231910917,4.307107466834979,1.5517384372656349
aulsx,2026-02-27,407.8399963378906,3.0796209986250007,0.9072294853965823,0.5322442450411968,0.0003679116377299785,0.0010800256455527624,416.35350341796874,344.1189254760742,230.81641380310057,1.8038297041186073,1.7669453814668235,0.7921225455004495,0.04989903007813416,0.8215370482144901,0.05175196958099097,-0.34172398248163416,0.03868985424105181,93.0657539700093,94.69316288465225,0.8561328461423616,-0.5318763334034668,1.037133776640991,43.43921643483419,18.536705664036283,5.0971694681823,6.434824380566009,14.916042565014429,0.9562075445585493,0,1.1021564529259813,2.992428572585715,94.69316288465225,251,5.739574185343086,3.4982975298154417,2.4131710999142393,-0.28522116485037,-0.4121475723229634,3.960533949836657,3.2968875104685944,-3.5022003357414775,-2.84489342573,0.730297591287005,-2.2025073674228914,-0.0003302537781719428,-0.7475193126696174,-3.4692514105264567,-0.5721616533686554,0.7057008392933155,0.5716177655555482,2.194701373032929,3.456050318075704,1.5983341274821108,-0.8244892195530532,1.0399868881855383,-0.2639279985110231,1.3832989454214977
uylxr,2026-02-27,1429.3699951171875,2.9480143562025063,0.7092940151202187,0.5274636670662713,0.2515279097032379,0.011177408567297098,1312.4794921875,1118.4161631266277,827.2932327270507,1.5864743482302128,1.7277670583666584,0.5923463396066215,0.03731431201472691,0.5046865743912115,0.03179226585410106,-0.21814676081016415,0.03427369918830667,64.48441576273514,76.55567760538241,1.0425006387709894,-0.27593575736303344,0.8520126483340174,69.25218918339054,978.9339372388202,3.486286054480642,5.885553469944445,15.981378964936733,0.9399863761980186,0,0.9418236973408447,5.9641202811034635,76.55567760538239,251,5.739574185343086,2.6561298524615387,2.387702029229554,2.1496905061023996,-0.1743822264819565,2.7967052375404085,3.1083225719015197,-2.188659142208418,-0.832348719285615,-0.36643087086999326,-1.6739168901833956,-0.4593155718287479,-0.35636129304132075,-1.8350626686539426,-1.5240211835442379,-0.6568093648349362,-3.9756131721935284,1.9591158008262646,3.743046634411463,1.5460726868390262,-0.8244892195530532,0.9072856701184996,0.22615577888281993,1.3776921775393534
gxhoa,2026-02-27,387.0,0.5068726051875652,0.6220492614403785,0.43870855387917707,0.2009309542280837,0.00857420608842041,370.406999206543,320.3628306070963,259.3272850036621,1.4283379367500182,1.4923227225898834,0.23363561497992852,0.014717660348679232,0.2665375426430529,0.01679028697370932,-0.24247865805185764,0.01043380077760427,102.91448072123467,95.14057963632659,1.3606398352767042,-0.23777759965109335,1.140825817695325,68.7249451992723,232.8401025039333,2.87417568178554,12.301958680539602,11.853314039583868,0.8204372758119657,0,0.7957826115476208,1.7929553819888016,95.14057963632659,251,0.6572899026456392,2.2849244719136426,1.914849109928604,1.6591700476295597,-0.23568042052700885,1.9447141551441716,1.9751309700504858,0.7378900708138612,0.6803066585218067,-0.1504890987350932,1.1795932623691008,0.010992028054531451,0.3113651221085754,-1.5278570453187523,-0.03899583710775958,-0.6002060751729337,-0.44305304370658405,3.574739684761363,2.6309665184429027,1.1609088025307885,-0.8244892195530532,0.7864131141528344,-0.4617420417529416,1.1958403474861234
